schema_context,column,check,check_number,failure_case,index
Column,created_at,not_nullable,,,76
Column,created_at,not_nullable,,,190
Column,created_at,not_nullable,,,1736
Column,created_at,not_nullable,,,1750
Column,created_at,not_nullable,,,1903
Column,created_at,not_nullable,,,1927
Column,created_at,not_nullable,,,1960
Column,created_at,not_nullable,,,1966
Column,created_at,not_nullable,,,1967
Column,created_at,not_nullable,,,2121
Column,created_at,not_nullable,,,2159
Column,created_at,not_nullable,,,2174
Column,created_at,not_nullable,,,2249
Column,created_at,not_nullable,,,2262
Column,created_at,not_nullable,,,2401
Column,created_at,not_nullable,,,2502
Column,created_at,not_nullable,,,2503
Column,created_at,not_nullable,,,2601
Column,created_at,not_nullable,,,2806
Column,created_at,not_nullable,,,2924
Column,created_at,not_nullable,,,2956
Column,created_at,not_nullable,,,1717
Column,created_at,not_nullable,,,1555
Column,created_at,not_nullable,,,1540
Column,created_at,not_nullable,,,876
Column,created_at,not_nullable,,,251
Column,created_at,not_nullable,,,273
Column,created_at,not_nullable,,,372
Column,created_at,not_nullable,,,378
Column,created_at,not_nullable,,,404
Column,created_at,not_nullable,,,650
Column,created_at,not_nullable,,,670
Column,created_at,not_nullable,,,722
Column,created_at,not_nullable,,,1061
Column,created_at,not_nullable,,,1480
Column,created_at,not_nullable,,,1088
Column,created_at,not_nullable,,,1146
Column,created_at,not_nullable,,,1260
Column,created_at,not_nullable,,,1364
Column,created_at,not_nullable,,,1376
Column,created_at,not_nullable,,,1402
Column,created_at,not_nullable,,,1424
Column,created_at,not_nullable,,,1432
Column,created_at,not_nullable,,,2959
